Actual,Predicted
85.0,108.08616
100.0,90.777466
78.0,94.202705
49.0,69.014435
72.0,57.16472
72.0,76.06574
85.0,76.07565
96.0,79.50767
106.0,75.97925
93.0,84.09394
43.0,65.11516
58.0,42.70832
56.0,41.423725
41.0,35.81174
27.0,28.26886
13.0,21.08529
13.0,10.102086
7.0,11.793876
9.0,4.0867305
5.0,12.173701
10.0,13.79638
35.0,20.424656
58.0,64.0494
91.0,88.61575
104.0,111.46112
114.0,107.19356
78.0,101.26237
61.0,68.158775
86.0,62.317333
89.0,80.41464
91.0,76.58059
99.0,79.14335
90.0,76.19109
67.0,66.20691
58.0,52.751827
48.0,42.624847
36.0,34.72016
30.0,28.68053
29.0,23.919668
23.0,20.151117
16.0,18.143951
4.0,14.778894
8.0,3.6793337
13.0,11.317994
5.0,21.470205
26.0,11.992811
50.0,47.741104
56.0,76.28955
114.0,67.38788
94.0,129.6475
74.0,81.24006
103.0,67.139946
83.0,83.652565
96.0,74.113815
75.0,84.3698
84.0,70.388145
94.0,68.90051
89.0,66.67698
59.0,57.904427
47.0,43.473766
46.0,35.786125
30.999999999999996,30.886726
30.999999999999996,24.07169
15.0,20.474665
6.0,11.546742
10.0,4.400243
9.0,5.045502
6.0,12.224081
13.0,14.747833
30.0,23.291248
42.0,53.18591
60.0,61.822124
121.0,71.0415
94.0,141.18674
76.0,73.95867
61.99999999999999,67.72679
87.0,59.47735
99.0,80.682175
90.0,83.062355
100.0,73.97244
82.0,77.21939
69.0,63.057125
47.0,50.787903
41.0,38.812057
46.0,32.553894
29.0,29.42698
16.0,23.290855
16.0,17.919735
9.0,12.161857
9.0,8.290608
10.0,5.047344
8.0,12.57685
20.0,16.182081
27.0,33.03343
51.0,42.942158
61.0,75.513954
65.0,71.9474
89.0,68.556915
71.0,81.583466
70.0,62.540333
72.0,61.791973
88.0,68.60335
99.0,77.40038
89.0,77.065186
94.0,69.03888
79.0,66.053116
53.0,53.476322
53.0,41.337597
32.0,36.19459
34.0,27.553753
19.0,24.18052
21.0,17.83023
10.0,16.740055
13.0,7.924585
5.0,7.0751543
7.0,11.038465
12.0,14.992328
27.0,23.910427
51.0,46.428894
54.0,76.41688
70.0,61.931313
84.0,74.76352
76.0,78.52783
61.99999999999999,65.93074
90.0,60.94162
98.0,81.50661
94.0,85.536514
84.0,76.93263
129.0,67.701904
115.0,88.84391
88.0,74.31659
70.0,58.5119
61.99999999999999,46.33604
43.0,38.72453
32.0,29.469072
14.0,22.629108
14.0,10.924197
4.0,13.336384
10.0,3.121916
7.0,11.653711
20.0,15.258983
34.0,37.641663
59.0,53.967693
76.0,89.40711
92.0,95.66567
112.0,98.46673
91.0,101.001396
75.0,71.49822
96.0,65.685524
100.0,83.13787
100.0,87.849525
92.0,84.1021
106.0,74.86515
89.0,73.97423
60.0,59.474323
52.0,45.243187
51.0,37.129784
30.999999999999996,32.48477
23.0,24.819796
14.0,19.178957
15.0,10.692203
7.0,14.189374
6.0,4.438517
2.0,10.999384
12.0,11.487356
30.999999999999996,25.371622
52.0,55.33035
74.0,80.13792
87.0,94.95316
93.0,90.112785
87.0,85.30227
64.0,73.67614
57.0,61.82884
83.0,64.92047
107.0,82.22832
93.0,88.30728
106.0,71.43438
91.0,89.08182
69.0,62.23369
40.0,49.8563
65.0,37.736526
44.0,37.410633
19.0,28.129614
